Name,Price,Size
UNKNOWN NAME,12000,
คอนโดTheOriginRam,9000,22.68 
Eliodelnestudomsuk,19000,39 
FourSeasonsPrivateResidencesBangkok,280000,
FynnAsokeSukhumvit,55000,41 
LaviqSukhumvit,110000,86 
TheTempoGrandSathorn-Wutthakatเดอะเทมโปแกรนด์สาทร-วุฒากาศติดรถไฟฟ้าBTSสถานีวุฒากาศสายสีลมทางออก,26000,35 
One,150000,
One,55000,
One,55000,58 
SiameseRama,70000,
TcgreencondoRCA,18000,
TcgreencondoRCA,18000,41 
TheLivinphetkasem,14000,
Thelivinphetkasem,14000,32 
Theparklandphetkasem,14000,
Theparklandphetkasem,14000,35 
Udelight@HuaikhwangStation,18000,42 
ชีวาทัยเพชรเกษม,12000,
Ashtonchula-silom,35000,32 
UNKNOWN NAME,14000,24 
UNKNOWN NAME,22000,38 
UNKNOWN NAME,26000,43 
UNKNOWN NAME,11000,28 
UNKNOWN NAME,16000,26 
UNKNOWN NAME,22000,30.56 
UNKNOWN NAME,14000,26.07 
UNKNOWN NAME,27000,35 
UNKNOWN NAME,30000,38.5 
CondoTHELINEPhahonyothinParkคอนโดเดอะไลน์พหลโยธินพาร์ค,18000,32.5 
คอนโดเอ็กซ์ทีห้วยขวางใกล้MRTห้วยขวาง,26000,35 
UNKNOWN NAME,20000,40 
คอนโดศรีนครินทร์อัสสกาญจน์เพลสศรีนครินทร์คอนโดติดถนนใหญ่ศรีนครินทร์ใกล้รถไฟฟ้าARLหัวหมากใกล้รถไฟฟ้าสายสีเหลืองสถานีพัฒนาการค่า,8000,29.24 
คอนโดวิชซิกเนเจอร์CondoWishsignatureMidtownSiamBtsRatchatewiชั้น,26500,34 
คอนโดรามคำแหงโครงการดีคอนโดรามคำแหง,10000,
คอนโดรามคำแหงโครงการดีคอนโดรามคำแหง,10000,29 
LifeAsoke-Rama,39000,
LifeAsoke-Rama,39000,
คอนโดChewathaiHallmarkLadprao-Chokchai,12000,32 
บ้านใกล้MRTรัชดาวิภาวดี,15000,
คอนโดEstaBlissมีนบุรีใกล้mrtสถานีเศรษฐบุตรบำเพ็ญค่า,7000,24 
คอนโดEstaBlissมีนบุรีใกล้mrtสถานีเศรษฐบุตรบำเพ็ญค่า,7000,
คอนโดTheOriginRam,9000,
โครงการElioสาทร-วุฒากาศ,9500,25 
คอนโดThePrivacyJatujakเดอะไพรเวซี่จตุจักร,16000,27 
คอนโดTheTreeพัฒนาการ-เอกมัยใหม่มือ,13000,26.90 
คอนโดGrandCondominiumWutthakatแกรนด์คอนโดมิเนียมวุฒากาศถนนจอมทองชั้น,8000,27.4 
คอนโด𝐓𝐡𝐞𝐏𝐫𝐢𝐯𝐚𝐜𝐲𝐉𝐚𝐭𝐮𝐣𝐚𝐤เดอะไพรเวซี่จตุจักร,16000,27 
UNKNOWN NAME,13500,35 
FLEXISathon-Charoennakornเฟล็กซี่สาทร-เจริญนครใกล้BTSกรุงธนบุรีal,13000,25.50 
UNKNOWN NAME,7000,21.55 
เมโทรลักซ์โรสโกลด์MetroLuxeRosegoldอินทามระ,13000,35 
Happycondoลาดพร้าว,13000,
IdeoQSukhumvit,33000,38.5 
KnightsbridgeSukhumvit-Thepharakไนท์บริดจ์สุขุมวิท-เทพารักษ์,10000,23 
CondoletteIzeRatchathewiคอนโดเลตไอซ์ราชเทวี,20000,30 
KnightsbridgePhahonyotininterchange,30000,
คอนโดTheCapitalAkamaiThonglorใกล้BTSเอกมัยและทองหล่อค่า,19000,
คอนโดTheCapitalAkamaiThonglorใกล้BTSเอกมัยและทองหล่อค่า,19000,36 
𝘿𝙘𝙤𝙣𝙙𝙤𝙃𝙮𝙥𝙚𝙍𝙖𝙣𝙜𝙨𝙞𝙩ดีคอนโดไฮป์รังสิต,10000,24 
คอนโดสวยพิเศษTheLine,20000,33 
คอนโดอัลติจูดยูนิคอร์นสาธร-ท่าพนะ,12500,24.12 
คอนโดเลี้ยงสัตว์ได้ชีวาทัยฮอลล์มาร์คลาดพร้าว-โชคชัย,16000,31.95 
คอนโดRegalOnnut-Srinakarin,13000,28.5 
Maestro,23000,34 
โครงการศุภาลัยลอฟท์สาทร-ราชพฤกษ์InterchangeBTSMRTบางหว้าขนาด,23000,56.10 
ORIGINรามคำแหง,10900,
Liferama,30000,
คอนโดRhythmsathornสาทรใกล้BTSสถานีสะพานตากสิน,20000,35 
คอนโดไนท์บริดจ์สุขุมวิทเทพารักษ์KnightsbridgeSukhumvit-TheparakติดMRTสายสีเหลืองสถานีทิพวัลย์,11000,27.68 
คอนโดรีเจ้นท์โฮมบางนาRegenthomeBangNaBTSบางนา,11000,28 
คอนโดรีเจ้นท์โฮมบางนาRegenthomeBangNaใหม่BTSบางนา,10000,28 
คอนโดเอสเปซเมกาASpaceMegaติดห้างIkeaและMegaบางนา,8500,28.52 
ไอดีโอสุขุมวิท,8500,28 
คอนโดเดอะพาร์คแลนด์เพชรเกษม,14000,30 
คอนโดไอดีโอโมบิจรัญ-อินเตอร์เชนจ์IdeoMobiCharanInterchange,9000,22 
TheOriginOnnutดิออริจิ้นอ่อนนุช,15000,
TheOriginOnnutดิออริจิ้นอ่อนนุช,15000,22 
คอนโดไอวี่แอมพิโอตรงรัชดา,55000,81 
Maestro,23000,34 
Maestro,23000,34 
UNKNOWN NAME,18000,40 
TheTempoGrandSathorn-Wutthakatเดอะเทมโปแกรนด์สาทร-วุฒากาศติดรถไฟฟ้าBTSสถานีวุฒากาศสายสีลมทางออก,12000,35 
คอนโดทำเลดีAspireRatchayothinคอนโดแอสปายรัชโยธินพิเศษ,16000,29 
ASHTONSilomแอชตันสีลม,68000,
Liferama,30000,40 
คอนโดIDEOMobiSukhumvitEastpointใกล้BTSบางนา&แบริ่ง@,13500,
 Knightsbridge Prime Ratchayothin ,20000,
KnightsbridgeSkycitySaphanmai,9500,23 
KnightsbridgeSpaceRatchayothin,28000,
MazarineRatchayothin,22000,
MazarineRatchayothin,22000,37 
KnightsbridgeSpaceRatchayothin,28000,37 
TheOriginลาดพร้าว-บางกะปิ,20000,
TheOriginลาดพร้าว-บางกะปิ,20000,25.5 
ASpaceMeSukhumvit,8500,30 
ASPACEMEGA,7999,
คอนโดเลตมิสท์พระราม,15000,29 
UNKNOWN NAME,12000,28 
UNKNOWN NAME,23000,29 
UNKNOWN NAME,58000,86 
CondoOneXSukhumvit,25000,
IDEONEWRAMA,25000,52.92 
SupalaiPremierSiphraya-Samyan,28000,42 
THELINEPhahonyothinParkสถานีรถไฟฟ้าห้าแยกลาดพร้าว,18000,32.5 
UNKNOWN NAME,26500,35 
UNKNOWN NAME,49000,
UNKNOWN NAME,38000,45 
UNKNOWN NAME,10500,26 
UNKNOWN NAME,10000,
UNKNOWN NAME,10000,27 
IdeoO,12500,
CocoParcRama,25000,
คอนโดQuintaraPhumeSukhumvit,21000,34.85 
ออริจิ้นปลั๊ก&เพลย์นนทบุรีสเตชั่นOriginPlug&PlayNonthaburi,15000,23.3 
UNKNOWN NAME,12500,29 
คอนโดไอดีโอสาทร-ท่าพระใกล้BTSโพธินิมิตรIdeoSathorn-Thapra,9000,21 
KraamSukhumvit,65000,60 
CocoParcRama,25000,26 
คอนโดNicheMonoรัชวิภา,19000,54 
Airportlinkramkhamhaeng,25000,
AshtonResidenceSukhumvit,80000,
AshtonSilom,37000,
AspireNgamwongwanแอสปายงามวงศ์วานใกล้มเกษตร-มศรีปทุม,8500,
AspireRama,12000,28 
AspireRatchayothinแอสปายรัชโยธินใกล้BTSรัชโยธิน,15000,29 
AspireSathon-TaksinCopperZoneใกล้BTSสถานีวุฒากาศแค่,10500,27 
AspireSathorn-TaksinTimberZone,8500,32 
AspireSathorn-TaksinTimberZone,8500,31 
AspireSathorn-Thapra,13000,32 
AspireSukhumvit,16000,40 
AspireSukhumvit,16000,38.33 
AspireSukhumvit-OnnutAspireSukhumvitOnnutคอนโดแอสปายสุขุมวิท-อ่อนนุชซอยอ่อนนุช,15000,36.5 
Aspireสุขุมวิท,17000,
Aspireเอราวัณไพร์มติดbtsเอราวัณ,10000,
AstroChangwattanaMRTChangwattana-Pakkret,8500,28 
BangkokFerizสาทร-ตากสินใกล้btsกรุงธนบุรี,12000,
BELLEGRANDRAMA,90000,110 
BrownCondoRatchada,10000,25 
Brownratchada,9500,
BTSBangchak,16000,
BTSBangchak,16000,30 
BTSBangNa,15000,
BTSChongNonsi,38000,
BTSChongNonsi,38000,65 
BTSEkkamai,85000,
BTSKasetsartUniversity,12000,
BTSKasetsartUniversity,12000,26 
BTSOnNut,14500,
BTSPhraKhanong,32000,
BTSPhraKhanong,32000,50 
BTSPhromPhong,18000,
BTSพหลโยธิน,26000,
CentralBangna,8500,
CentricHuaiKhwangStationเซ็นทริคห้วยขวางสเตชั่น,17000,31.32 
CeroccoBangna,12000,29.8 
CeroccoBangna,12000,
ChapterCharoenNakhon-Riverside,17000,25.7 
ChapterOneAllRamintraMRTLatPlaKhao,11000,25 
CircleCondominiumNearMRTPhetchaburiHaveShuttleBus,26000,47.59 
CitiSmartSukhumvit,70000,120 
CondoBaanSukhumvit,18000,
CondoBaanสุขุมวิท,18000,
